product_id,product_name,category_id,category_name,subcategory,product_line,start_date
1,HL Road Frame - Black- 58,CO_RF,Components,Road Frames,Road,7/1/2003
2,HL Road Frame - Red- 58,CO_RF,Components,Road Frames,Road,7/1/2003
3,Mountain-100 Black- 38,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2011
4,Mountain-100 Black- 42,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2011
5,Mountain-100 Black- 44,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2011
6,Mountain-100 Black- 48,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2011
7,Mountain-100 Silver- 38,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2011
8,Mountain-100 Silver- 42,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2011
9,Mountain-100 Silver- 44,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2011
10,Mountain-100 Silver- 48,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2011
11,Road-450 Red- 44,BI_RB,Bikes,Road Bikes,Road,7/1/2011
12,Road-450 Red- 48,BI_RB,Bikes,Road Bikes,Road,7/1/2011
13,Road-450 Red- 52,BI_RB,Bikes,Road Bikes,Road,7/1/2011
14,Road-450 Red- 58,BI_RB,Bikes,Road Bikes,Road,7/1/2011
15,Road-450 Red- 60,BI_RB,Bikes,Road Bikes,Road,7/1/2011
16,Road-150 Red- 44,BI_RB,Bikes,Road Bikes,Road,7/1/2011
17,Road-150 Red- 48,BI_RB,Bikes,Road Bikes,Road,7/1/2011
18,Road-150 Red- 52,BI_RB,Bikes,Road Bikes,Road,7/1/2011
19,Road-150 Red- 56,BI_RB,Bikes,Road Bikes,Road,7/1/2011
20,Road-150 Red- 62,BI_RB,Bikes,Road Bikes,Road,7/1/2011
21,HL Mountain Frame - Black- 44,CO_MF,Components,Mountain Frames,Mountain,7/1/2011
22,HL Mountain Frame - Black- 48,CO_MF,Components,Mountain Frames,Mountain,7/1/2011
23,HL Mountain Frame - Silver- 44,CO_MF,Components,Mountain Frames,Mountain,7/1/2011
24,HL Mountain Frame - Silver- 48,CO_MF,Components,Mountain Frames,Mountain,7/1/2011
25,ML Road Frame - Red- 44,CO_RF,Components,Road Frames,Road,7/1/2011
26,ML Road Frame - Red- 48,CO_RF,Components,Road Frames,Road,7/1/2011
27,ML Road Frame - Red- 52,CO_RF,Components,Road Frames,Road,7/1/2011
28,ML Road Frame - Red- 58,CO_RF,Components,Road Frames,Road,7/1/2011
29,ML Road Frame - Red- 60,CO_RF,Components,Road Frames,Road,7/1/2011
30,Mountain Bike Socks- L,CL_SO,Clothing,Socks,Mountain,7/1/2011
31,Mountain Bike Socks- M,CL_SO,Clothing,Socks,Mountain,7/1/2011
32,Mountain-300 Black- 38,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2012
33,Mountain-300 Black- 40,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2012
34,Mountain-300 Black- 44,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2012
35,Mountain-300 Black- 48,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2012
36,Road-650 Black- 44,BI_RB,Bikes,Road Bikes,Road,7/1/2012
37,Road-650 Black- 48,BI_RB,Bikes,Road Bikes,Road,7/1/2012
38,Road-650 Black- 52,BI_RB,Bikes,Road Bikes,Road,7/1/2012
39,Road-650 Black- 58,BI_RB,Bikes,Road Bikes,Road,7/1/2012
40,Road-650 Black- 60,BI_RB,Bikes,Road Bikes,Road,7/1/2012
41,Road-650 Black- 62,BI_RB,Bikes,Road Bikes,Road,7/1/2012
42,Road-650 Red- 44,BI_RB,Bikes,Road Bikes,Road,7/1/2012
43,Road-650 Red- 48,BI_RB,Bikes,Road Bikes,Road,7/1/2012
44,Road-650 Red- 52,BI_RB,Bikes,Road Bikes,Road,7/1/2012
45,Road-650 Red- 58,BI_RB,Bikes,Road Bikes,Road,7/1/2012
46,Road-650 Red- 60,BI_RB,Bikes,Road Bikes,Road,7/1/2012
47,Road-650 Red- 62,BI_RB,Bikes,Road Bikes,Road,7/1/2012
48,Road-250 Red- 44,BI_RB,Bikes,Road Bikes,Road,7/1/2012
49,Road-250 Red- 48,BI_RB,Bikes,Road Bikes,Road,7/1/2012
50,Road-250 Red- 52,BI_RB,Bikes,Road Bikes,Road,7/1/2012
51,LL Fork,CO_FO,Components,Forks,n/a,7/1/2012
52,ML Fork,CO_FO,Components,Forks,n/a,7/1/2012
53,HL Fork,CO_FO,Components,Forks,n/a,7/1/2012
54,ML Mountain Frame - Black- 38,CO_MF,Components,Mountain Frames,Mountain,7/1/2012
55,ML Mountain Frame - Black- 40,CO_MF,Components,Mountain Frames,Mountain,7/1/2012
56,ML Mountain Frame - Black- 44,CO_MF,Components,Mountain Frames,Mountain,7/1/2012
57,ML Mountain Frame - Black- 48,CO_MF,Components,Mountain Frames,Mountain,7/1/2012
58,LL Road Frame - Red- 44,CO_RF,Components,Road Frames,Road,7/1/2012
59,LL Road Frame - Red- 48,CO_RF,Components,Road Frames,Road,7/1/2012
60,LL Road Frame - Red- 52,CO_RF,Components,Road Frames,Road,7/1/2012
61,LL Road Frame - Red- 58,CO_RF,Components,Road Frames,Road,7/1/2012
62,LL Road Frame - Red- 60,CO_RF,Components,Road Frames,Road,7/1/2012
63,LL Road Frame - Red- 62,CO_RF,Components,Road Frames,Road,7/1/2012
64,LL Mountain Front Wheel,CO_WH,Components,Wheels,Mountain,7/1/2012
65,ML Mountain Front Wheel,CO_WH,Components,Wheels,Mountain,7/1/2012
66,HL Mountain Front Wheel,CO_WH,Components,Wheels,Mountain,7/1/2012
67,LL Road Front Wheel,CO_WH,Components,Wheels,Road,7/1/2012
68,ML Road Front Wheel,CO_WH,Components,Wheels,Road,7/1/2012
69,HL Road Front Wheel,CO_WH,Components,Wheels,Road,7/1/2012
70,Touring Front Wheel,CO_WH,Components,Wheels,Touring,7/1/2012
71,Full-Finger Gloves- L,CL_GL,Clothing,Gloves,Mountain,7/1/2012
72,Full-Finger Gloves- M,CL_GL,Clothing,Gloves,Mountain,7/1/2012
73,Full-Finger Gloves- S,CL_GL,Clothing,Gloves,Mountain,7/1/2012
74,LL Headset,CO_HS,Components,Headsets,n/a,7/1/2012
75,ML Headset,CO_HS,Components,Headsets,n/a,7/1/2012
76,HL Headset,CO_HS,Components,Headsets,n/a,7/1/2012
77,Cable Lock,AC_LO,Accessories,Locks,Other Sales,7/1/2012
78,Headlights - Dual-Beam,AC_LI,Accessories,Lights,Road,7/1/2012
79,Headlights - Weatherproof,AC_LI,Accessories,Lights,Road,7/1/2012
80,Taillights - Battery-Powered,AC_LI,Accessories,Lights,Road,7/1/2012
81,Touring-Panniers- Large,AC_PA,Accessories,Panniers,Touring,7/1/2012
82,Minipump,AC_PU,Accessories,Pumps,Other Sales,7/1/2012
83,Mountain Pump,AC_PU,Accessories,Pumps,Mountain,7/1/2012
84,LL Mountain Rear Wheel,CO_WH,Components,Wheels,Mountain,7/1/2012
85,ML Mountain Rear Wheel,CO_WH,Components,Wheels,Mountain,7/1/2012
86,HL Mountain Rear Wheel,CO_WH,Components,Wheels,Mountain,7/1/2012
87,LL Road Rear Wheel,CO_WH,Components,Wheels,Road,7/1/2012
88,ML Road Rear Wheel,CO_WH,Components,Wheels,Road,7/1/2012
89,HL Road Rear Wheel,CO_WH,Components,Wheels,Road,7/1/2012
90,Touring Rear Wheel,CO_WH,Components,Wheels,Touring,7/1/2012
91,Men's Bib-Shorts- L,CL_BS,Clothing,Bib-Shorts,Other Sales,7/1/2012
92,Men's Bib-Shorts- M,CL_BS,Clothing,Bib-Shorts,Other Sales,7/1/2012
93,Men's Bib-Shorts- S,CL_BS,Clothing,Bib-Shorts,Other Sales,7/1/2012
94,Men's Sports Shorts- L,CL_SH,Clothing,Shorts,Other Sales,7/1/2012
95,Men's Sports Shorts- M,CL_SH,Clothing,Shorts,Other Sales,7/1/2012
96,Men's Sports Shorts- S,CL_SH,Clothing,Shorts,Other Sales,7/1/2012
97,Men's Sports Shorts- XL,CL_SH,Clothing,Shorts,Other Sales,7/1/2012
98,Women's Tights- L,CL_TI,Clothing,Tights,Other Sales,7/1/2012
99,Women's Tights- M,CL_TI,Clothing,Tights,Other Sales,7/1/2012
100,Women's Tights- S,CL_TI,Clothing,Tights,Other Sales,7/1/2012
101,LL Bottom Bracket,CO_BB,Components,Bottom Brackets,n/a,7/1/2013
102,ML Bottom Bracket,CO_BB,Components,Bottom Brackets,n/a,7/1/2013
103,HL Bottom Bracket,CO_BB,Components,Bottom Brackets,n/a,7/1/2013
104,Mountain Bottle Cage,AC_BC,Accessories,Bottles and Cages,Mountain,7/1/2013
105,Road Bottle Cage,AC_BC,Accessories,Bottles and Cages,Road,7/1/2013
106,Mountain-500 Black- 40,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
107,Mountain-500 Black- 42,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
108,Mountain-500 Black- 44,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
109,Mountain-500 Black- 48,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
110,Mountain-500 Black- 52,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
111,Mountain-500 Silver- 40,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
112,Mountain-500 Silver- 42,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
113,Mountain-500 Silver- 44,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
114,Mountain-500 Silver- 48,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
115,Mountain-500 Silver- 52,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
116,Mountain-400-W Silver- 38,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
117,Mountain-400-W Silver- 40,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
118,Mountain-400-W Silver- 42,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
119,Mountain-400-W Silver- 46,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
120,Mountain-200 Black- 38,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
121,Mountain-200 Black- 42,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
122,Mountain-200 Black- 46,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
123,Mountain-200 Silver- 38,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
124,Mountain-200 Silver- 42,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
125,Mountain-200 Silver- 46,BI_MB,Bikes,Mountain Bikes,Mountain,7/1/2013
126,Road-750 Black- 44,BI_RB,Bikes,Road Bikes,Road,7/1/2013
127,Road-750 Black- 48,BI_RB,Bikes,Road Bikes,Road,7/1/2013
128,Road-750 Black- 52,BI_RB,Bikes,Road Bikes,Road,7/1/2013
129,Road-750 Black- 58,BI_RB,Bikes,Road Bikes,Road,7/1/2013
130,Road-550-W Yellow- 38,BI_RB,Bikes,Road Bikes,Road,7/1/2013
131,Road-550-W Yellow- 40,BI_RB,Bikes,Road Bikes,Road,7/1/2013
132,Road-550-W Yellow- 42,BI_RB,Bikes,Road Bikes,Road,7/1/2013
133,Road-550-W Yellow- 44,BI_RB,Bikes,Road Bikes,Road,7/1/2013
134,Road-550-W Yellow- 48,BI_RB,Bikes,Road Bikes,Road,7/1/2013
135,Road-350-W Yellow- 40,BI_RB,Bikes,Road Bikes,Road,7/1/2013
136,Road-350-W Yellow- 42,BI_RB,Bikes,Road Bikes,Road,7/1/2013
137,Road-350-W Yellow- 44,BI_RB,Bikes,Road Bikes,Road,7/1/2013
138,Road-350-W Yellow- 48,BI_RB,Bikes,Road Bikes,Road,7/1/2013
139,Road-250 Black- 44,BI_RB,Bikes,Road Bikes,Road,7/1/2013
140,Road-250 Black- 48,BI_RB,Bikes,Road Bikes,Road,7/1/2013
141,Road-250 Black- 52,BI_RB,Bikes,Road Bikes,Road,7/1/2013
142,Road-250 Black- 58,BI_RB,Bikes,Road Bikes,Road,7/1/2013
