Order_id,Product_id,Quantity,Price,Sales_amount,order_id,Order_date,Shiping_date,Due_datw,Customer_id
SO43697,20,1,3578,3578,SO43697,12/29/2010,1/5/2011,1/10/2011,10769
SO43698,9,1,3400,3400,SO43698,12/29/2010,1/5/2011,1/10/2011,17390
SO43699,9,1,3400,3400,SO43699,12/29/2010,1/5/2011,1/10/2011,14864
SO43700,41,1,699,699,SO43700,12/29/2010,1/5/2011,1/10/2011,3502
SO43701,9,1,3400,3400,SO43701,12/29/2010,1/5/2011,1/10/2011,4
SO43702,16,1,3578,3578,SO43702,12/30/2010,1/6/2011,1/11/2011,16646
SO43703,20,1,3578,3578,SO43703,12/30/2010,1/6/2011,1/11/2011,5625
SO43704,6,1,3375,3375,SO43704,12/30/2010,1/6/2011,1/11/2011,6
SO43705,7,1,3400,3400,SO43705,12/30/2010,1/6/2011,1/11/2011,12
SO43706,17,1,3578,3578,SO43706,12/31/2010,1/7/2011,1/12/2011,16622
SO43707,17,1,3578,3578,SO43707,12/31/2010,1/7/2011,1/12/2011,16617
SO43708,44,1,699,699,SO43708,12/31/2010,1/7/2011,1/12/2011,9043
SO43709,18,1,3578,3578,SO43709,12/31/2010,1/7/2011,1/12/2011,5352
SO43710,19,1,3578,3578,SO43710,12/31/2010,1/7/2011,1/12/2011,5518
SO43711,19,1,3578,3578,SO43711,1/1/2011,1/8/2011,1/13/2011,16607
SO43712,16,1,3578,3578,SO43712,1/1/2011,1/8/2011,1/13/2011,2514
SO43713,20,1,3578,3578,SO43713,1/2/2011,1/9/2011,1/14/2011,16602
SO43714,16,1,3578,3578,SO43714,1/2/2011,1/9/2011,1/14/2011,2592
SO43715,19,1,3578,3578,SO43715,1/2/2011,1/9/2011,1/14/2011,5484
SO43716,16,1,3578,3578,SO43716,1/2/2011,1/9/2011,1/14/2011,5530
SO43717,41,1,699,699,SO43717,1/2/2011,1/9/2011,1/14/2011,14250
SO43718,16,1,3578,3578,SO43718,1/3/2011,1/10/2011,1/15/2011,16669
SO43719,17,1,3578,3578,SO43719,1/3/2011,1/10/2011,1/15/2011,16613
SO43720,16,1,3578,3578,SO43720,1/3/2011,1/10/2011,1/15/2011,2265
SO43721,20,1,3578,3578,SO43721,1/3/2011,1/10/2011,1/15/2011,2591
SO43722,17,1,3578,3578,SO43722,1/4/2011,1/11/2011,1/16/2011,2582
SO43723,39,1,699,699,SO43723,1/4/2011,1/11/2011,1/16/2011,3521
SO43724,16,1,3578,3578,SO43724,1/4/2011,1/11/2011,1/16/2011,5521
SO43725,16,1,3578,3578,SO43725,1/5/2011,1/12/2011,1/17/2011,2259
SO43726,39,1,699,699,SO43726,1/5/2011,1/12/2011,1/17/2011,3561
SO43727,16,1,3578,3578,SO43727,1/5/2011,1/12/2011,1/17/2011,5608
SO43728,18,1,3578,3578,SO43728,1/6/2011,1/13/2011,1/18/2011,16667
SO43729,9,1,3400,3400,SO43729,1/6/2011,1/13/2011,1/18/2011,239
SO43730,9,1,3400,3400,SO43730,1/6/2011,1/13/2011,1/18/2011,14862
SO43731,19,1,3578,3578,SO43731,1/6/2011,1/13/2011,1/18/2011,5630
SO43732,5,1,3375,3375,SO43732,1/6/2011,1/13/2011,1/18/2011,26
SO43733,17,1,3578,3578,SO43733,1/6/2011,1/13/2011,1/18/2011,16578
SO43734,17,1,3578,3578,SO43734,1/7/2011,1/14/2011,1/19/2011,16605
SO43735,20,1,3578,3578,SO43735,1/7/2011,1/14/2011,1/19/2011,5523
SO43736,9,1,3400,3400,SO43736,1/7/2011,1/14/2011,1/19/2011,3
SO43737,16,1,3578,3578,SO43737,1/8/2011,1/15/2011,1/20/2011,2262
SO43738,17,1,3578,3578,SO43738,1/8/2011,1/15/2011,1/20/2011,607
SO43739,20,1,3578,3578,SO43739,1/8/2011,1/15/2011,1/20/2011,2564
SO43740,17,1,3578,3578,SO43740,1/8/2011,1/15/2011,1/20/2011,5528
SO43741,20,1,3578,3578,SO43741,1/9/2011,1/16/2011,1/21/2011,16672
SO43742,19,1,3578,3578,SO43742,1/9/2011,1/16/2011,1/21/2011,2577
SO43743,10,1,3400,3400,SO43743,1/9/2011,1/16/2011,1/21/2011,8
SO43744,18,1,3578,3578,SO43744,1/9/2011,1/16/2011,1/21/2011,5632
SO43745,16,1,3578,3578,SO43745,1/10/2011,1/17/2011,1/22/2011,5515
SO43746,17,1,3578,3578,SO43746,1/10/2011,1/17/2011,1/22/2011,5617
SO43747,19,1,3578,3578,SO43747,1/11/2011,1/18/2011,1/23/2011,16624
SO43748,18,1,3578,3578,SO43748,1/11/2011,1/18/2011,1/23/2011,16626
SO43749,19,1,3578,3578,SO43749,1/11/2011,1/18/2011,1/23/2011,16637
SO43750,16,1,3578,3578,SO43750,1/11/2011,1/18/2011,1/23/2011,592
SO43751,18,1,3578,3578,SO43751,1/11/2011,1/18/2011,1/23/2011,593
SO43752,16,1,3578,3578,SO43752,1/11/2011,1/18/2011,1/23/2011,2266
SO43753,20,1,3578,3578,SO43753,1/11/2011,1/18/2011,1/23/2011,5483
SO43754,17,1,3578,3578,SO43754,1/12/2011,1/19/2011,1/24/2011,16618
SO43755,16,1,3578,3578,SO43755,1/12/2011,1/19/2011,1/24/2011,16671
SO43756,39,1,699,699,SO43756,1/12/2011,1/19/2011,1/24/2011,8942
SO43757,5,1,3375,3375,SO43757,1/12/2011,1/19/2011,1/24/2011,18
SO43758,20,1,3578,3578,SO43758,1/13/2011,1/20/2011,1/25/2011,16647
SO43759,20,1,3578,3578,SO43759,1/13/2011,1/20/2011,1/25/2011,2258
SO43760,19,1,3578,3578,SO43760,1/13/2011,1/20/2011,1/25/2011,5353
SO43761,20,1,3578,3578,SO43761,1/13/2011,1/20/2011,1/25/2011,5494
SO43762,19,1,3578,3578,SO43762,1/14/2011,1/21/2011,1/26/2011,16579
SO43763,18,1,3578,3578,SO43763,1/14/2011,1/21/2011,1/26/2011,5526
SO43764,20,1,3578,3578,SO43764,1/14/2011,1/21/2011,1/26/2011,5613
SO43765,9,1,3400,3400,SO43765,1/14/2011,1/21/2011,1/26/2011,11
SO43766,18,1,3578,3578,SO43766,1/15/2011,1/22/2011,1/27/2011,5519
SO43767,5,1,3375,3375,SO43767,1/15/2011,1/22/2011,1/27/2011,2
SO43768,17,1,3578,3578,SO43768,1/16/2011,1/23/2011,1/28/2011,16650
SO43769,17,1,3578,3578,SO43769,1/16/2011,1/23/2011,1/28/2011,10660
SO43770,17,1,3578,3578,SO43770,1/16/2011,1/23/2011,1/28/2011,16615
SO43771,44,1,699,699,SO43771,1/16/2011,1/23/2011,1/28/2011,3560
SO43772,17,1,3578,3578,SO43772,1/16/2011,1/23/2011,1/28/2011,5525
SO43773,19,1,3578,3578,SO43773,1/16/2011,1/23/2011,1/28/2011,5527
SO43774,18,1,3578,3578,SO43774,1/16/2011,1/23/2011,1/28/2011,5349
SO43775,10,1,3400,3400,SO43775,1/16/2011,1/23/2011,1/28/2011,28
SO43776,19,1,3578,3578,SO43776,1/17/2011,1/24/2011,1/29/2011,2261
SO43777,16,1,3578,3578,SO43777,1/17/2011,1/24/2011,1/29/2011,5516
SO43778,8,1,3400,3400,SO43778,1/17/2011,1/24/2011,1/29/2011,19
SO43779,42,1,699,699,SO43779,1/17/2011,1/24/2011,1/29/2011,14253
SO43780,16,1,3578,3578,SO43780,1/18/2011,1/25/2011,1/30/2011,600
SO43781,17,1,3578,3578,SO43781,1/18/2011,1/25/2011,1/30/2011,5496
SO43782,17,1,3578,3578,SO43782,1/18/2011,1/25/2011,1/30/2011,5517
SO43783,17,1,3578,3578,SO43783,1/18/2011,1/25/2011,1/30/2011,5621
SO43784,20,1,3578,3578,SO43784,1/19/2011,1/26/2011,1/31/2011,16668
SO43785,16,1,3578,3578,SO43785,1/19/2011,1/26/2011,1/31/2011,602
SO43786,16,1,3578,3578,SO43786,1/19/2011,1/26/2011,1/31/2011,608
SO43787,7,1,3400,3400,SO43787,1/19/2011,1/26/2011,1/31/2011,18386
SO43788,6,1,3375,3375,SO43788,1/19/2011,1/26/2011,1/31/2011,240
SO43789,6,1,3375,3375,SO43789,1/19/2011,1/26/2011,1/31/2011,14866
SO43790,7,1,3400,3400,SO43790,1/19/2011,1/26/2011,1/31/2011,14858
SO43791,19,1,3578,3578,SO43791,1/19/2011,1/26/2011,1/31/2011,5485
SO43792,17,1,3578,3578,SO43792,1/19/2011,1/26/2011,1/31/2011,5624
SO43793,7,1,3400,3400,SO43793,1/19/2011,1/26/2011,1/31/2011,1
SO43794,10,1,3400,3400,SO43794,1/19/2011,1/26/2011,1/31/2011,30
SO43795,17,1,3578,3578,SO43795,1/20/2011,1/27/2011,2/1/2011,16616
SO43796,38,1,699,699,SO43796,1/20/2011,1/27/2011,2/1/2011,6957
SO43797,17,1,3578,3578,SO43797,1/20/2011,1/27/2011,2/1/2011,5346
SO43798,20,1,3578,3578,SO43798,1/20/2011,1/27/2011,2/1/2011,5522
SO43799,17,1,3578,3578,SO43799,1/20/2011,1/27/2011,2/1/2011,5637
SO43800,16,1,3578,3578,SO43800,1/21/2011,1/28/2011,2/2/2011,10711
SO43801,16,1,3578,3578,SO43801,1/21/2011,1/28/2011,2/2/2011,2584
SO43802,17,1,3578,3578,SO43802,1/21/2011,1/28/2011,2/2/2011,594
SO43803,19,1,3578,3578,SO43803,1/22/2011,1/29/2011,2/3/2011,10742
SO43804,20,1,3578,3578,SO43804,1/22/2011,1/29/2011,2/3/2011,2586
SO43805,43,1,699,699,SO43805,1/22/2011,1/29/2011,2/3/2011,3511
SO43806,17,1,3578,3578,SO43806,1/22/2011,1/29/2011,2/3/2011,5524
SO43807,17,1,3578,3578,SO43807,1/23/2011,1/30/2011,2/4/2011,612
SO43808,18,1,3578,3578,SO43808,1/23/2011,1/30/2011,2/4/2011,2260
SO43809,20,1,3578,3578,SO43809,1/23/2011,1/30/2011,2/4/2011,5351
SO43810,8,1,3400,3400,SO43810,1/23/2011,1/30/2011,2/4/2011,5
SO43811,9,1,3400,3400,SO43811,1/23/2011,1/30/2011,2/4/2011,27
SO43812,17,1,3578,3578,SO43812,1/24/2011,1/31/2011,2/5/2011,16663
SO43813,5,1,3375,3375,SO43813,1/24/2011,1/31/2011,2/5/2011,17391
SO43814,5,1,3375,3375,SO43814,1/24/2011,1/31/2011,2/5/2011,14867
SO43815,16,1,3578,3578,SO43815,1/24/2011,1/31/2011,2/5/2011,5495
SO43816,19,1,3578,3578,SO43816,1/24/2011,1/31/2011,2/5/2011,5497
SO43817,20,1,3578,3578,SO43817,1/24/2011,1/31/2011,2/5/2011,5520
SO43818,17,1,3578,3578,SO43818,1/24/2011,1/31/2011,2/5/2011,5529
SO43819,9,1,3400,3400,SO43819,1/24/2011,1/31/2011,2/5/2011,7
SO43820,17,1,3578,3578,SO43820,1/25/2011,2/1/2011,2/6/2011,16652
